months_as_customer,age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss
10,19,FEMALE,JD,craft-repair,yachting,wife,0,-60700
309,47,MALE,PhD,exec-managerial,hiking,other-relative,69400,0
396,57,MALE,High School,protective-serv,exercise,other-relative,0,-22400
273,41,FEMALE,PhD,farming-fishing,dancing,own-child,0,0
129,30,FEMALE,PhD,sales,video-games,husband,51500,0
140,31,FEMALE,JD,armed-forces,base-jumping,wife,59000,0
419,53,MALE,College,transport-moving,chess,unmarried,45700,0
315,44,FEMALE,Masters,sales,reading,other-relative,0,-56800
72,29,FEMALE,Associate,craft-repair,exercise,own-child,0,-85900
32,26,MALE,JD,other-service,polo,not-in-family,0,-79800
230,41,MALE,JD,transport-moving,sleeping,own-child,0,0
157,32,MALE,College,other-service,reading,other-relative,0,-54100
265,41,FEMALE,Associate,craft-repair,sleeping,own-child,81800,0
47,34,FEMALE,PhD,exec-managerial,base-jumping,other-relative,64800,-24300
113,29,MALE,PhD,exec-managerial,golf,not-in-family,36100,-42300
289,46,MALE,JD,armed-forces,chess,unmarried,0,0
254,41,FEMALE,Masters,protective-serv,board-games,own-child,0,0
115,30,MALE,High School,prof-specialty,base-jumping,wife,46400,0
236,38,FEMALE,College,other-service,paintball,not-in-family,0,-62500
7,21,MALE,Associate,machine-op-inspct,camping,wife,0,-45300
208,36,MALE,JD,machine-op-inspct,base-jumping,wife,0,0
126,33,FEMALE,JD,priv-house-serv,sleeping,own-child,36700,-73400
48,35,FEMALE,JD,exec-managerial,golf,unmarried,0,-51000
297,48,MALE,PhD,exec-managerial,golf,other-relative,54900,-36700
160,36,FEMALE,High School,prof-specialty,board-games,husband,0,-36600
406,58,MALE,MD,exec-managerial,video-games,own-child,0,-42700
157,31,MALE,High School,farming-fishing,reading,own-child,40700,-41600
146,31,FEMALE,PhD,machine-op-inspct,video-games,not-in-family,61400,-57500
409,57,MALE,High School,protective-serv,exercise,unmarried,55600,0
252,46,MALE,Masters,adm-clerical,dancing,wife,0,-28800
6,27,FEMALE,High School,prof-specialty,dancing,unmarried,0,-47400
103,33,MALE,MD,armed-forces,exercise,own-child,0,0
369,53,FEMALE,Masters,priv-house-serv,video-games,not-in-family,0,0
261,46,MALE,MD,transport-moving,base-jumping,own-child,0,0
159,33,FEMALE,College,craft-repair,skydiving,husband,69200,-36900
344,51,MALE,Associate,sales,skydiving,other-relative,0,0
437,60,FEMALE,College,armed-forces,cross-fit,unmarried,48800,0
65,30,FEMALE,College,transport-moving,skydiving,wife,0,-66300
280,41,MALE,MD,adm-clerical,exercise,husband,29300,-64700
269,45,FEMALE,High School,machine-op-inspct,sleeping,wife,54800,-64100
275,40,MALE,Masters,exec-managerial,camping,unmarried,0,-45300
265,45,FEMALE,College,exec-managerial,cross-fit,unmarried,0,0
283,43,FEMALE,Associate,adm-clerical,polo,not-in-family,0,-50400
84,29,FEMALE,High School,machine-op-inspct,video-games,not-in-family,0,-29900
247,44,FEMALE,College,farming-fishing,camping,not-in-family,64000,0
56,29,MALE,Masters,prof-specialty,movies,own-child,0,0
210,39,MALE,Associate,armed-forces,paintball,unmarried,0,0
108,32,FEMALE,High School,machine-op-inspct,basketball,unmarried,63900,-43700
328,49,FEMALE,Masters,transport-moving,bungie-jumping,wife,0,0
186,37,FEMALE,JD,priv-house-serv,exercise,unmarried,0,0
277,44,MALE,High School,priv-house-serv,board-games,unmarried,0,0
138,33,FEMALE,JD,exec-managerial,paintball,own-child,56900,-56900
