insured_id,insured_zip,age,gender,education_level,occupation,hobbies,relationship,capital_gains,capital_loss
75,472895,40,FEMALE,Associate,sales,yachting,wife,0,0
76,475847,35,FEMALE,High School,transport-moving,bungie-jumping,other-relative,78300,0
77,476978,45,FEMALE,College,handlers-cleaners,golf,husband,0,-19700
78,600648,47,MALE,College,transport-moving,dancing,not-in-family,0,0
79,608335,39,FEMALE,JD,other-service,kayaking,wife,0,-45000
80,471600,38,FEMALE,PhD,handlers-cleaners,polo,unmarried,0,0
81,441175,31,MALE,High School,exec-managerial,paintball,husband,52700,-40600
82,603123,40,FEMALE,Masters,exec-managerial,video-games,wife,0,0
83,457767,29,MALE,Masters,other-service,bungie-jumping,other-relative,0,0
84,618498,35,MALE,High School,exec-managerial,video-games,wife,57300,-80600
85,605486,48,MALE,Masters,prof-specialty,movies,not-in-family,0,-44200
86,617970,41,MALE,High School,transport-moving,board-games,own-child,35700,0
87,432934,34,FEMALE,Associate,priv-house-serv,yachting,husband,800,0
88,456762,32,FEMALE,MD,other-service,yachting,own-child,36400,0
89,601748,36,FEMALE,College,prof-specialty,kayaking,not-in-family,0,-78600
90,607763,25,FEMALE,College,exec-managerial,exercise,not-in-family,0,-56100
91,436973,29,FEMALE,High School,sales,board-games,own-child,0,0
92,471300,23,FEMALE,Associate,tech-support,exercise,own-child,0,-62400
93,453277,42,MALE,PhD,farming-fishing,yachting,own-child,55200,0
94,465100,43,FEMALE,MD,exec-managerial,exercise,not-in-family,90700,-20800
95,603248,42,FEMALE,High School,machine-op-inspct,hiking,not-in-family,0,0
96,601112,25,FEMALE,PhD,armed-forces,exercise,husband,67700,-58400
97,438830,47,FEMALE,Associate,protective-serv,hiking,not-in-family,61500,0
98,464959,25,MALE,Masters,farming-fishing,skydiving,own-child,0,-71700
99,439787,48,FEMALE,College,machine-op-inspct,kayaking,wife,0,0
100,464839,42,MALE,College,exec-managerial,reading,not-in-family,0,0
101,448984,41,FEMALE,College,protective-serv,yachting,not-in-family,0,-72300
102,440327,27,FEMALE,College,tech-support,exercise,unmarried,0,0
103,460742,41,FEMALE,JD,prof-specialty,bungie-jumping,husband,37300,-31700
104,446895,33,FEMALE,Associate,tech-support,kayaking,other-relative,35300,-58100
105,609374,54,MALE,College,other-service,basketball,wife,50500,0
106,451672,49,MALE,College,prof-specialty,kayaking,husband,34300,-24300
107,604450,61,FEMALE,Associate,prof-specialty,basketball,husband,0,-56400
108,432896,28,FEMALE,High School,handlers-cleaners,camping,own-child,0,-57000
109,618929,47,FEMALE,PhD,machine-op-inspct,basketball,other-relative,28800,0
110,451312,31,FEMALE,Masters,sales,chess,husband,0,-47500
111,605141,42,FEMALE,College,prof-specialty,video-games,unmarried,0,0
112,459504,60,MALE,PhD,craft-repair,dancing,unmarried,52600,-38800
113,432781,41,MALE,High School,exec-managerial,polo,other-relative,0,-41000
114,452748,32,MALE,MD,protective-serv,camping,own-child,0,-40600
115,618316,51,MALE,Associate,armed-forces,reading,other-relative,0,0
116,455365,46,MALE,MD,machine-op-inspct,hiking,other-relative,34400,-56800
117,470603,31,FEMALE,PhD,machine-op-inspct,bungie-jumping,other-relative,62000,-63100
118,475292,41,MALE,High School,exec-managerial,exercise,unmarried,41200,-36200
119,467743,38,FEMALE,PhD,transport-moving,yachting,not-in-family,44300,0
120,460675,39,FEMALE,Associate,adm-clerical,camping,husband,58000,0
121,618123,41,MALE,High School,priv-house-serv,board-games,other-relative,0,0
122,607452,36,FEMALE,MD,other-service,video-games,other-relative,0,-53700
123,606352,38,FEMALE,Masters,other-service,skydiving,not-in-family,0,0
124,603527,25,FEMALE,College,prof-specialty,movies,other-relative,51100,0
125,445601,35,FEMALE,JD,prof-specialty,paintball,not-in-family,0,0
126,603948,39,MALE,JD,craft-repair,dancing,unmarried,47200,-69700
127,435758,38,MALE,MD,protective-serv,video-games,unmarried,59600,-32100
128,611586,32,FEMALE,High School,tech-support,exercise,own-child,70500,0
129,465263,43,MALE,College,farming-fishing,basketball,wife,40700,-47300
130,617858,28,FEMALE,Masters,sales,sleeping,husband,42400,0
131,607889,45,MALE,JD,machine-op-inspct,camping,wife,57900,0
132,455689,39,MALE,Masters,adm-clerical,paintball,own-child,0,0
133,450341,27,FEMALE,Masters,tech-support,exercise,unmarried,60000,-54800
134,431277,33,FEMALE,High School,machine-op-inspct,skydiving,wife,0,-45200
135,454656,32,MALE,PhD,exec-managerial,basketball,unmarried,65300,-65600
136,605169,34,FEMALE,College,exec-managerial,yachting,other-relative,84900,0
137,444822,40,FEMALE,High School,sales,exercise,other-relative,45300,-20400
138,447442,28,FEMALE,PhD,tech-support,golf,not-in-family,68900,0
139,474360,46,FEMALE,High School,prof-specialty,basketball,wife,46300,-77500
140,447925,32,FEMALE,MD,other-service,hiking,not-in-family,0,-43200
141,451586,35,MALE,Masters,machine-op-inspct,camping,other-relative,76000,0
142,477519,41,MALE,Masters,transport-moving,video-games,wife,0,-49000
143,603639,34,MALE,PhD,machine-op-inspct,video-games,own-child,58600,-28700
144,463993,29,MALE,MD,exec-managerial,yachting,other-relative,0,-56200
145,441491,31,FEMALE,JD,farming-fishing,video-games,wife,54100,0
146,469429,58,FEMALE,Associate,exec-managerial,cross-fit,wife,0,-57900
147,472214,41,MALE,Masters,tech-support,polo,not-in-family,0,-57100
148,614945,38,FEMALE,MD,other-service,golf,other-relative,58100,0
149,476727,27,MALE,PhD,adm-clerical,reading,not-in-family,13100,-38200
150,438555,41,FEMALE,JD,craft-repair,skydiving,not-in-family,0,0
151,440961,32,FEMALE,PhD,farming-fishing,base-jumping,wife,0,0
152,616714,45,MALE,Masters,priv-house-serv,polo,husband,0,0
153,434247,32,MALE,High School,exec-managerial,kayaking,own-child,31900,-44600
154,436547,54,FEMALE,Masters,craft-repair,paintball,own-child,17600,0
155,619540,33,FEMALE,Masters,other-service,reading,own-child,52000,-44500
156,466283,50,MALE,Associate,sales,bungie-jumping,other-relative,0,0
157,449557,61,MALE,JD,exec-managerial,exercise,husband,0,0
158,473329,59,FEMALE,JD,prof-specialty,hiking,other-relative,0,0
159,470117,38,MALE,Masters,machine-op-inspct,movies,not-in-family,29000,0
160,600702,29,FEMALE,JD,transport-moving,video-games,other-relative,62500,-66900
161,615921,36,FEMALE,Associate,priv-house-serv,reading,unmarried,39600,-82400
162,475588,48,FEMALE,MD,farming-fishing,dancing,not-in-family,0,-54000
163,609409,48,FEMALE,MD,exec-managerial,polo,unmarried,49700,-59100
164,479852,30,FEMALE,Masters,prof-specialty,sleeping,not-in-family,47700,-59300
165,452249,34,FEMALE,Masters,prof-specialty,polo,unmarried,38100,-31400
166,441536,29,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family,71400,0
167,601617,28,FEMALE,Associate,craft-repair,board-games,unmarried,0,-26900
168,442598,45,MALE,High School,farming-fishing,yachting,unmarried,0,-51100
169,430987,46,FEMALE,Masters,machine-op-inspct,bungie-jumping,husband,0,-50000
170,430104,37,MALE,High School,other-service,movies,not-in-family,75400,0
171,612904,42,MALE,Associate,armed-forces,hiking,not-in-family,0,0
172,430886,28,MALE,High School,machine-op-inspct,hiking,husband,88800,0
173,467947,29,MALE,College,protective-serv,board-games,wife,35100,-59900
174,604804,31,FEMALE,MD,transport-moving,kayaking,wife,0,-88300
175,460308,44,FEMALE,PhD,farming-fishing,kayaking,unmarried,53900,0
176,618862,46,MALE,MD,tech-support,board-games,wife,0,-41300
177,462479,34,MALE,Masters,protective-serv,dancing,other-relative,0,0
178,457555,45,FEMALE,PhD,prof-specialty,kayaking,other-relative,0,-45100
179,459984,40,FEMALE,Masters,armed-forces,skydiving,other-relative,27000,-58900
180,434982,39,MALE,MD,tech-support,exercise,wife,0,-31700
181,614233,36,MALE,Associate,handlers-cleaners,basketball,not-in-family,72200,0
182,605258,54,FEMALE,Masters,adm-clerical,reading,not-in-family,29600,-22300
183,604377,27,FEMALE,Masters,tech-support,exercise,husband,51100,0
184,434923,26,MALE,JD,tech-support,cross-fit,other-relative,0,-30300
185,476456,46,MALE,Masters,craft-repair,sleeping,not-in-family,0,0
186,446788,35,MALE,JD,tech-support,cross-fit,husband,0,-51300
187,477382,34,FEMALE,JD,tech-support,bungie-jumping,unmarried,0,-57700
188,600275,39,FEMALE,JD,protective-serv,exercise,other-relative,0,-39200
189,461958,25,FEMALE,High School,tech-support,hiking,own-child,51000,-67900
190,472720,28,FEMALE,High School,adm-clerical,polo,other-relative,62700,0
191,442395,57,MALE,Associate,tech-support,movies,own-child,25000,0
192,455340,39,MALE,JD,farming-fishing,hiking,unmarried,68500,-57500
193,613247,47,FEMALE,MD,handlers-cleaners,basketball,unmarried,0,0
194,454985,32,MALE,High School,other-service,hiking,husband,42900,-90200
195,468813,26,MALE,MD,farming-fishing,basketball,not-in-family,29300,0
196,452747,44,MALE,High School,handlers-cleaners,bungie-jumping,husband,0,0
197,615611,36,MALE,MD,armed-forces,skydiving,own-child,0,0
198,451400,43,FEMALE,MD,adm-clerical,camping,not-in-family,0,0
199,464874,48,MALE,Masters,armed-forces,bungie-jumping,own-child,45100,-32800
200,452496,43,FEMALE,College,sales,paintball,other-relative,47600,0
201,430714,31,MALE,PhD,craft-repair,golf,not-in-family,0,0
202,472634,49,MALE,PhD,transport-moving,base-jumping,not-in-family,63100,-13800
203,608371,39,FEMALE,High School,protective-serv,board-games,unmarried,0,0
204,468168,62,MALE,PhD,machine-op-inspct,paintball,wife,0,0
205,464107,39,MALE,JD,sales,kayaking,husband,0,0
206,466959,43,FEMALE,Masters,tech-support,exercise,not-in-family,66400,-34400
207,443522,32,FEMALE,College,sales,chess,other-relative,0,-39300
208,441726,29,MALE,Masters,handlers-cleaners,golf,husband,0,0
209,473412,48,MALE,JD,adm-clerical,hiking,husband,0,0
210,466201,53,MALE,Associate,sales,reading,not-in-family,25500,-36700
211,469621,24,FEMALE,High School,handlers-cleaners,movies,other-relative,0,0
212,466676,37,MALE,High School,priv-house-serv,skydiving,not-in-family,59900,0
213,615346,50,MALE,High School,sales,yachting,other-relative,62200,-31400
214,440106,40,FEMALE,MD,prof-specialty,reading,wife,24000,0
215,450332,33,FEMALE,JD,exec-managerial,cross-fit,wife,0,0
216,615226,43,MALE,PhD,craft-repair,bungie-jumping,other-relative,0,0
217,437688,26,FEMALE,High School,machine-op-inspct,base-jumping,unmarried,0,0
218,437387,28,MALE,Masters,transport-moving,yachting,not-in-family,0,-39700
219,458139,46,FEMALE,MD,prof-specialty,exercise,not-in-family,24800,0
220,443191,43,MALE,College,priv-house-serv,camping,other-relative,0,0
221,613647,44,MALE,College,farming-fishing,base-jumping,other-relative,0,-58600
222,460820,49,FEMALE,College,other-service,exercise,own-child,47800,0
223,431121,50,FEMALE,High School,sales,yachting,husband,0,0
224,619735,50,MALE,Associate,sales,board-games,wife,53000,-72500
225,470485,38,FEMALE,Associate,tech-support,kayaking,not-in-family,0,0
226,620473,41,MALE,Masters,exec-managerial,basketball,unmarried,24400,-60500
227,449800,52,FEMALE,High School,other-service,paintball,own-child,0,-37100
228,602402,52,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,0,0
229,452456,53,FEMALE,MD,craft-repair,kayaking,unmarried,0,-64000
230,439269,37,FEMALE,MD,farming-fishing,dancing,other-relative,0,-67800
231,617774,34,FEMALE,High School,machine-op-inspct,base-jumping,wife,65600,-68200
232,477678,46,MALE,JD,prof-specialty,dancing,own-child,36900,-55000
233,444913,42,FEMALE,Masters,machine-op-inspct,exercise,husband,39900,-60200
234,456602,35,MALE,MD,handlers-cleaners,paintball,own-child,63600,-68700
235,451560,28,MALE,JD,farming-fishing,polo,other-relative,0,-32500
236,453407,54,MALE,Masters,transport-moving,kayaking,unmarried,0,-24400
237,618655,32,MALE,JD,craft-repair,golf,unmarried,0,0
238,612550,26,MALE,MD,sales,cross-fit,own-child,40600,0
239,466718,41,FEMALE,Associate,farming-fishing,reading,own-child,33300,-10600
240,617947,37,FEMALE,Masters,farming-fishing,dancing,own-child,54000,0
241,606238,43,FEMALE,MD,armed-forces,cross-fit,own-child,0,0
242,463842,38,FEMALE,College,adm-clerical,skydiving,other-relative,0,-74500
243,610354,40,FEMALE,JD,exec-managerial,camping,other-relative,36900,-53700
244,461328,36,FEMALE,College,tech-support,paintball,own-child,53200,-53800
245,458727,28,MALE,Associate,armed-forces,board-games,other-relative,0,-70300
246,452587,51,FEMALE,Associate,tech-support,golf,other-relative,60300,-24700
247,433184,28,FEMALE,JD,machine-op-inspct,golf,not-in-family,0,0
248,451280,44,FEMALE,JD,other-service,chess,own-child,0,-41400
249,603269,27,MALE,Masters,machine-op-inspct,golf,other-relative,25900,0
250,442632,30,FEMALE,High School,armed-forces,paintball,other-relative,0,-52600
251,447300,28,FEMALE,Associate,transport-moving,yachting,unmarried,47500,-32500
252,441783,27,MALE,MD,sales,yachting,other-relative,0,0
253,468702,40,FEMALE,High School,transport-moving,bungie-jumping,husband,0,-44600
254,467942,61,MALE,PhD,transport-moving,movies,wife,41500,-70200
255,463678,23,FEMALE,JD,tech-support,base-jumping,wife,0,0
256,615220,57,FEMALE,High School,farming-fishing,golf,own-child,0,0
257,432711,36,MALE,Associate,craft-repair,base-jumping,other-relative,0,0
258,463583,43,MALE,Associate,machine-op-inspct,cross-fit,other-relative,0,0
259,439502,40,FEMALE,MD,sales,base-jumping,husband,0,0
260,613287,30,FEMALE,PhD,exec-managerial,dancing,unmarried,0,0
261,620104,29,FEMALE,Masters,priv-house-serv,skydiving,other-relative,0,-47100
262,446895,31,MALE,PhD,other-service,reading,husband,0,0
263,431531,43,MALE,College,machine-op-inspct,golf,husband,0,-33600
264,605408,40,MALE,Masters,armed-forces,base-jumping,other-relative,0,-45000
265,457551,30,FEMALE,MD,protective-serv,kayaking,wife,44400,-51500
266,619892,57,FEMALE,High School,craft-repair,movies,own-child,51500,0
267,445853,45,MALE,JD,machine-op-inspct,hiking,wife,34400,-33100
268,475483,29,FEMALE,JD,handlers-cleaners,video-games,unmarried,52100,-46900
269,606290,37,MALE,Associate,protective-serv,reading,other-relative,0,-61000
270,611852,36,FEMALE,Associate,machine-op-inspct,camping,wife,57800,-53300
271,444734,55,MALE,College,handlers-cleaners,camping,husband,55400,0
272,433683,40,FEMALE,Associate,other-service,camping,wife,71200,0
273,448882,47,MALE,MD,craft-repair,paintball,other-relative,91900,0
274,466838,26,FEMALE,JD,armed-forces,skydiving,wife,62800,0
275,605490,39,FEMALE,Masters,other-service,skydiving,other-relative,49900,-19800
276,466137,43,FEMALE,Associate,machine-op-inspct,board-games,own-child,0,-75700
277,466970,42,MALE,Associate,tech-support,paintball,husband,53100,-63400
278,474801,41,MALE,PhD,prof-specialty,cross-fit,unmarried,55600,0
279,450703,33,FEMALE,JD,armed-forces,exercise,not-in-family,0,0
280,478172,38,FEMALE,College,other-service,sleeping,own-child,0,0
281,604668,39,FEMALE,JD,craft-repair,movies,unmarried,0,-83900
282,469429,33,FEMALE,Associate,craft-repair,cross-fit,wife,37600,-37600
283,471806,40,FEMALE,PhD,transport-moving,video-games,not-in-family,0,0
284,475705,58,MALE,PhD,tech-support,sleeping,other-relative,47400,-27600
285,459122,36,FEMALE,MD,priv-house-serv,basketball,own-child,0,-49400
286,476737,33,FEMALE,High School,adm-clerical,kayaking,not-in-family,0,-40900
287,460359,31,MALE,JD,priv-house-serv,hiking,not-in-family,26900,0
288,452735,40,FEMALE,Associate,transport-moving,golf,not-in-family,68700,0
289,613583,25,FEMALE,JD,handlers-cleaners,movies,husband,0,0
290,605692,39,FEMALE,College,sales,hiking,own-child,0,-33300
291,438178,42,MALE,Associate,machine-op-inspct,kayaking,wife,0,0
292,449221,40,MALE,College,protective-serv,golf,other-relative,64200,-32300
293,459322,31,FEMALE,High School,handlers-cleaners,polo,husband,0,-15700
294,472657,34,MALE,High School,sales,dancing,wife,0,-48300
295,608331,37,MALE,High School,exec-managerial,golf,unmarried,0,-51800
296,438546,31,FEMALE,Associate,prof-specialty,basketball,wife,0,-54600
297,441981,43,MALE,College,protective-serv,reading,wife,0,-58100
298,602177,39,FEMALE,College,handlers-cleaners,dancing,wife,0,0
299,441659,35,FEMALE,MD,adm-clerical,golf,not-in-family,0,0
300,614812,27,MALE,High School,transport-moving,video-games,other-relative,27100,0
301,458470,43,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,0,-39300
302,469646,31,MALE,Associate,handlers-cleaners,yachting,own-child,20000,-82700
303,611118,44,MALE,College,sales,base-jumping,other-relative,34000,-55600
304,465158,40,MALE,JD,transport-moving,camping,wife,0,-35200
305,457130,47,MALE,High School,priv-house-serv,bungie-jumping,husband,54100,-77600
306,607893,34,FEMALE,JD,handlers-cleaners,base-jumping,wife,82400,-57100
307,464736,29,FEMALE,PhD,farming-fishing,kayaking,own-child,0,0
308,476198,37,FEMALE,Associate,protective-serv,cross-fit,unmarried,44000,0
309,444903,37,MALE,Associate,machine-op-inspct,hiking,unmarried,0,-53800
310,464336,36,MALE,Masters,armed-forces,golf,husband,0,-39700
311,471453,41,FEMALE,PhD,sales,dancing,other-relative,81300,0
312,466191,26,MALE,MD,sales,base-jumping,not-in-family,0,-22200
313,440930,33,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,0,-38600
314,430380,59,MALE,PhD,protective-serv,board-games,own-child,39000,0
315,613178,30,FEMALE,Masters,machine-op-inspct,golf,unmarried,43900,0
316,460564,42,FEMALE,MD,transport-moving,bungie-jumping,wife,0,-39500
317,439929,46,MALE,High School,exec-managerial,bungie-jumping,not-in-family,0,0
318,605756,45,FEMALE,Associate,adm-clerical,camping,wife,39400,-63900
319,451184,33,FEMALE,High School,transport-moving,yachting,not-in-family,0,0
320,459588,30,MALE,Associate,protective-serv,reading,other-relative,51600,-73900
321,616637,37,FEMALE,High School,sales,video-games,wife,61600,-30200
322,447979,30,MALE,JD,adm-clerical,polo,husband,58500,-46800
323,460176,44,MALE,High School,handlers-cleaners,movies,husband,0,0
324,459429,50,FEMALE,Masters,priv-house-serv,board-games,other-relative,0,0
325,465456,26,MALE,College,exec-managerial,sleeping,not-in-family,0,0
326,464665,55,MALE,JD,tech-support,sleeping,not-in-family,0,-65400
327,430853,49,FEMALE,High School,farming-fishing,bungie-jumping,own-child,0,-42100
328,615712,47,MALE,PhD,craft-repair,yachting,own-child,0,0
329,608228,40,MALE,MD,armed-forces,base-jumping,husband,0,0
330,457535,31,MALE,PhD,protective-serv,board-games,own-child,0,-27900
331,442540,28,MALE,Masters,machine-op-inspct,base-jumping,not-in-family,0,0
332,455332,46,FEMALE,PhD,transport-moving,reading,husband,53500,-73600
333,439534,25,FEMALE,JD,tech-support,base-jumping,unmarried,67000,-53600
334,462420,26,FEMALE,MD,prof-specialty,reading,husband,0,0
335,448913,30,MALE,College,prof-specialty,hiking,wife,38900,-48700
336,440837,31,FEMALE,JD,armed-forces,camping,unmarried,0,0
337,466634,39,MALE,College,armed-forces,sleeping,unmarried,0,-56600
338,446435,37,MALE,Associate,tech-support,camping,wife,0,-53700
339,438237,30,FEMALE,Associate,priv-house-serv,movies,husband,39600,-64300
340,468313,35,MALE,MD,priv-house-serv,video-games,unmarried,35400,-49200
341,476303,45,FEMALE,JD,sales,cross-fit,wife,0,-61000
342,450339,42,FEMALE,Associate,craft-repair,movies,wife,25000,0
343,476502,26,MALE,College,armed-forces,skydiving,own-child,0,0
344,600561,47,MALE,Masters,protective-serv,sleeping,other-relative,0,0
345,600754,38,FEMALE,Associate,tech-support,board-games,unmarried,0,0
346,439304,28,MALE,PhD,transport-moving,hiking,unmarried,75800,0
347,460722,56,MALE,Associate,machine-op-inspct,skydiving,own-child,67400,-43800
348,618632,43,FEMALE,PhD,handlers-cleaners,base-jumping,husband,46400,-74300
349,452204,34,MALE,JD,tech-support,cross-fit,not-in-family,56700,0
350,454530,39,FEMALE,MD,craft-repair,bungie-jumping,unmarried,68600,-22300
351,474848,43,FEMALE,JD,tech-support,polo,own-child,47900,-73400
352,435985,44,FEMALE,Associate,machine-op-inspct,paintball,other-relative,47200,0
353,457942,26,FEMALE,High School,craft-repair,camping,unmarried,0,-41500
354,436522,57,MALE,Masters,adm-clerical,skydiving,own-child,67400,-83200
355,471704,27,FEMALE,High School,adm-clerical,base-jumping,own-child,56400,-32800
356,455810,43,FEMALE,MD,prof-specialty,golf,unmarried,56700,-65600
357,446544,37,FEMALE,MD,craft-repair,paintball,not-in-family,65600,0
358,461919,28,MALE,College,other-service,movies,other-relative,30400,0
359,470128,33,MALE,College,adm-clerical,yachting,wife,0,-13200
360,462836,44,MALE,PhD,priv-house-serv,basketball,unmarried,0,0
361,475407,61,FEMALE,Associate,transport-moving,polo,unmarried,0,-42600
362,473611,24,FEMALE,College,priv-house-serv,paintball,other-relative,47400,0
363,608425,30,MALE,MD,prof-specialty,polo,own-child,0,0
364,476227,41,FEMALE,Associate,sales,reading,own-child,60700,-54300
365,452701,46,FEMALE,High School,adm-clerical,polo,own-child,0,-55300
366,456789,31,FEMALE,Masters,adm-clerical,chess,wife,30700,0
367,600904,36,FEMALE,Masters,exec-managerial,dancing,own-child,68500,0
368,450889,47,FEMALE,Associate,adm-clerical,hiking,own-child,73000,-37900
369,478837,19,FEMALE,JD,craft-repair,yachting,wife,0,-60700
370,611322,47,MALE,PhD,exec-managerial,hiking,other-relative,69400,0
371,438180,57,MALE,High School,protective-serv,exercise,other-relative,0,-22400
372,449793,41,FEMALE,PhD,farming-fishing,dancing,own-child,0,0
373,450730,30,FEMALE,PhD,sales,video-games,husband,51500,0
374,608758,31,FEMALE,JD,armed-forces,base-jumping,wife,59000,0
375,445339,53,MALE,College,transport-moving,chess,unmarried,45700,0
376,438328,44,FEMALE,Masters,sales,reading,other-relative,0,-56800
377,479913,29,FEMALE,Associate,craft-repair,exercise,own-child,0,-85900
378,460760,26,MALE,JD,other-service,polo,not-in-family,0,-79800
379,444797,41,MALE,JD,transport-moving,sleeping,own-child,0,0
380,436711,32,MALE,College,other-service,reading,other-relative,0,-54100
381,432491,41,FEMALE,Associate,craft-repair,sleeping,own-child,81800,0
382,617527,34,FEMALE,PhD,exec-managerial,base-jumping,other-relative,64800,-24300
383,601213,29,MALE,PhD,exec-managerial,golf,not-in-family,36100,-42300
384,604138,46,MALE,JD,armed-forces,chess,unmarried,0,0
385,431361,41,FEMALE,Masters,protective-serv,board-games,own-child,0,0
386,477695,30,MALE,High School,prof-specialty,base-jumping,wife,46400,0
