policy_number,insured_id,months_as_customer,policy_bind_date,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit
132871,301,259,2009-07-05,IL,100/300,500,947.75,0
714929,302,107,1994-11-25,IL,100/300,2000,1018.73,5000000
297816,303,48,1997-02-03,IL,100/300,2000,1400.74,0
426708,304,267,2009-10-09,IL,250/500,500,1155.53,5000000
615047,305,286,2002-11-20,IN,250/500,500,1386.93,0
771236,306,175,1995-05-29,OH,100/300,500,915.29,0
235869,307,111,2011-01-22,IL,250/500,500,1239.55,2000000
931625,308,151,2012-10-18,IN,250/500,500,1366.42,0
371635,309,156,1991-10-13,OH,500/1000,1000,1086.48,6000000
427199,310,165,2010-10-01,IL,250/500,2000,1247.87,0
261315,311,253,2013-04-10,OH,100/300,2000,1312.75,0
582973,312,10,2008-06-11,IN,100/300,2000,765.64,0
278091,313,158,2013-12-04,OH,100/300,2000,1327.41,0
153154,314,436,2010-08-21,OH,500/1000,1000,1338.55,0
515217,315,91,2010-06-18,IL,250/500,2000,1316.63,8000000
860497,316,256,1992-04-10,IL,500/1000,1000,1286.44,0
351741,317,274,1997-02-03,OH,500/1000,1000,1372.18,0
403737,318,275,1991-12-06,IN,500/1000,2000,1447.77,0
162004,319,1,1995-09-19,IL,250/500,500,903.32,0
740384,320,85,1993-10-29,IN,500/1000,1000,1454.42,0
876714,321,233,1991-11-03,IL,100/300,2000,1603.42,0
951543,322,142,2002-07-09,IN,250/500,2000,1616.58,0
576723,323,266,1999-12-07,IL,250/500,500,1611.83,0
391003,324,350,2005-07-01,OH,500/1000,500,889.13,0
225865,325,97,1991-11-04,IL,250/500,1000,1252.08,0
984948,326,399,1993-04-14,IL,500/1000,2000,995.56,0
890328,327,305,2009-08-23,IL,100/300,2000,1347.92,0
803294,328,276,1993-06-18,IN,100/300,1000,1724.09,0
414913,329,257,2012-07-17,IN,250/500,500,1379.93,0
414519,330,78,1999-01-25,IN,250/500,1000,1554.64,4000000
818413,331,129,1990-02-23,OH,500/1000,1000,1377.94,0
487356,332,283,2000-08-30,IL,500/1000,2000,1313.33,0
159768,333,85,2008-09-03,IN,250/500,500,1259.02,0
865839,334,101,1991-08-02,IL,500/1000,1000,1371.88,0
406567,335,96,2001-09-25,OH,100/300,500,1399.27,6000000
623032,336,121,2007-03-11,IL,500/1000,1000,1061.98,6000000
935442,337,176,2010-11-20,OH,250/500,500,1365.46,4000000
106873,338,159,1998-08-28,IL,500/1000,1000,894.4,0
563878,339,120,2002-07-16,IN,250/500,500,956.69,0
620855,340,212,1990-04-29,IN,500/1000,2000,1123.89,0
583169,341,290,1998-02-01,IL,100/300,500,1085.03,0
337677,342,299,2008-07-20,OH,100/300,2000,1437.33,0
445973,343,66,1998-11-13,IL,250/500,1000,988.29,0
156694,344,334,2001-05-24,IL,500/1000,500,1238.89,0
421940,345,216,2014-06-03,IN,100/300,1000,1384.64,5000000
613226,346,86,1991-08-22,IN,100/300,2000,1595.07,0
804410,347,429,1998-12-12,OH,250/500,1000,1127.89,6000000
553565,348,257,1999-02-18,IN,500/1000,2000,929.7,6000000
399524,349,15,1997-10-30,IL,100/300,1000,1829.63,0
331595,350,230,1999-11-29,IL,100/300,1000,904.7,7000000
380067,351,250,2013-07-07,OH,500/1000,1000,1243.84,0
701521,352,270,2003-07-05,IL,500/1000,2000,1030.95,0
360770,353,65,2005-09-21,IN,100/300,500,1285.03,3000000
958785,354,475,1995-02-18,OH,100/300,500,1216.56,0
797934,355,77,1999-04-07,IN,500/1000,2000,966.26,0
883980,356,256,2014-12-13,OH,100/300,500,1203.17,0
340614,357,229,1997-06-01,IL,250/500,2000,1212.12,0
435784,358,110,2013-07-13,OH,250/500,1000,1573.93,0
563837,359,177,2002-12-30,IL,100/300,1000,1609.67,0
200827,360,292,1997-02-28,OH,500/1000,500,1097.57,0
533941,361,451,1998-06-18,IN,250/500,2000,1618.65,2000000
265026,362,61,1996-02-08,IN,100/300,500,922.67,0
354481,363,150,2004-11-17,IN,100/300,1000,1342.02,0
566720,364,283,2012-10-25,OH,100/300,500,1195.01,0
832746,365,291,2006-04-13,OH,500/1000,1000,994.74,0
386690,366,162,2006-02-21,IN,100/300,1000,1050.24,0
979285,367,154,2003-12-17,IL,250/500,2000,1313.51,7000000
594722,368,289,1999-07-31,OH,500/1000,2000,1102.29,0
216738,369,10,2014-08-05,IN,250/500,1000,1185.78,0
369048,370,309,2011-06-05,IL,500/1000,500,1527.95,0
514424,371,396,1992-10-11,IN,100/300,1000,1366.39,0
954191,372,273,2010-02-17,OH,500/1000,1000,1403.9,0
150181,373,129,2007-05-06,IL,500/1000,2000,927.23,0
388671,374,140,1997-05-01,OH,250/500,2000,1554.86,6000000
457244,375,419,1998-01-28,IL,500/1000,2000,736.07,6000000
206667,376,315,1993-05-05,IL,250/500,1000,974.16,6000000
745200,377,72,1994-08-06,OH,500/1000,500,973.8,0
412703,378,32,2014-11-14,OH,100/300,2000,1260.32,6000000
736771,379,230,1991-12-14,IN,100/300,1000,1464.03,0
347984,380,157,2009-10-21,OH,100/300,2000,617.11,0
626074,381,265,1997-09-29,IN,250/500,2000,1724.46,6000000
218109,382,47,2003-12-31,IL,500/1000,500,1161.31,0
999435,383,113,2008-01-01,OH,250/500,2000,1091.73,0
858060,384,289,2004-05-31,IL,250/500,2000,1209.07,0
500384,385,254,2013-12-18,IL,250/500,2000,1241.04,0
903785,386,115,2000-08-24,OH,500/1000,500,1757.21,0
873859,387,236,1992-10-14,OH,250/500,1000,802.24,0
204294,388,7,1991-11-16,IN,500/1000,1000,1342.72,0
467106,389,208,1995-10-08,OH,100/300,2000,1209.41,5000000
357713,390,126,2007-10-28,OH,500/1000,1000,1141.71,2000000
890026,391,48,2008-05-16,IL,100/300,500,1090.03,0
751612,392,297,2009-06-22,IN,250/500,1000,1464.73,3000000
876680,393,160,2012-05-10,OH,100/300,1000,1118.58,0
756981,394,406,2003-10-02,OH,250/500,2000,1117.04,0
121439,395,157,1990-08-02,IN,500/1000,500,1257.83,7000000
411289,396,146,1997-09-16,OH,250/500,2000,1082.72,0
538466,397,409,1995-07-29,IN,100/300,1000,1191.8,6000000
932097,398,252,2005-09-06,IN,100/300,1000,1242.02,0
463727,399,6,1992-08-05,OH,250/500,500,1075.71,0
552618,400,103,1993-01-22,IN,100/300,1000,969.88,6000000
936638,401,369,1995-05-20,OH,250/500,2000,1459.93,0
348814,402,261,1992-09-24,IL,500/1000,1000,1245.61,0
944102,403,159,2007-07-20,IN,100/300,2000,1462.76,0
689901,404,344,1992-04-28,IN,100/300,2000,1398.46,0
901083,405,437,1998-01-19,OH,500/1000,1000,1269.64,0
396224,406,65,2009-09-08,IN,100/300,500,1455.65,4000000
682178,407,280,1994-12-18,OH,500/1000,2000,1140.31,0
596298,408,269,1996-08-23,IN,500/1000,500,1330.46,0
253005,409,275,1991-11-20,OH,250/500,2000,1190.6,0
985924,410,265,1998-10-28,OH,250/500,500,972.5,0
631565,411,283,1997-07-14,IN,100/300,2000,1161.91,0
630998,412,84,2003-04-09,OH,250/500,1000,1117.17,0
926665,413,247,1992-02-04,OH,250/500,2000,1101.51,0
302669,414,56,2006-06-29,IL,100/300,1000,1523.17,0
620020,415,210,1997-06-21,OH,500/1000,1000,984.45,0
439828,416,108,2006-09-07,OH,500/1000,2000,1257.0,4000000
971295,417,328,2001-10-01,OH,500/1000,500,1434.51,0
165565,418,186,2009-02-20,OH,250/500,2000,1628.0,0
936543,419,277,2001-06-26,IN,500/1000,500,1412.31,0
296960,420,138,1997-01-18,IL,250/500,500,1362.87,5000000
501692,421,208,2014-06-24,IN,100/300,1000,1134.68,0
525224,422,147,1992-10-02,IN,250/500,1000,1306.78,0
355085,423,8,2012-10-09,IN,500/1000,500,1021.9,0
830729,424,297,1993-02-10,IN,100/300,1000,1538.6,0
651948,425,150,1994-09-28,IN,500/1000,1000,1354.5,0
424358,426,4,2003-05-24,OH,500/1000,500,1282.93,0
131478,427,210,1991-12-25,IL,500/1000,1000,1346.27,0
268833,428,91,1999-09-18,IN,100/300,1000,1338.4,4000000
287489,429,167,1994-02-03,IL,100/300,1000,949.44,0
808153,430,467,2003-01-18,IN,500/1000,2000,977.4,0
687639,431,264,2005-03-07,IN,250/500,2000,1181.46,10000000
497347,432,270,2003-08-23,OH,500/1000,500,1187.53,0
439660,433,310,2002-07-11,OH,100/300,1000,845.16,0
847123,434,143,2014-03-19,IL,100/300,500,1442.27,0
172307,435,146,1993-12-06,OH,100/300,2000,1276.43,0
810189,436,102,1999-08-29,OH,250/500,500,1075.41,0
432068,437,61,2007-03-09,IL,100/300,500,1111.72,0
903203,438,255,2004-01-03,OH,500/1000,2000,814.96,6000000
253085,439,211,1991-04-25,IL,500/1000,1000,1575.86,0
180720,440,61,1995-03-14,IN,250/500,1000,1115.27,0
492224,441,108,2005-12-09,IN,500/1000,2000,1175.7,0
411477,442,303,2001-12-25,OH,100/300,500,793.15,0
107181,443,152,1999-11-14,IN,250/500,500,942.51,0
