claim_id,incident_id,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
64,64,68520,11420,5710,51390,YES
65,65,59130,6570,6570,45990,YES
66,66,82320,13720,6860,61740,YES
67,67,89700,13800,13800,62100,YES
68,68,33930,0,3770,30160,NO
69,69,68530,12460,6230,49840,NO
70,70,4300,860,860,2580,NO
71,71,68310,12420,6210,49680,YES
72,72,61290,6810,6810,47670,YES
73,73,30100,3010,0,27090,NO
74,74,57120,9520,4760,42840,NO
75,75,42930,9540,4770,28620,NO
76,76,51210,11380,5690,34140,NO
77,77,89400,14900,7450,67050,NO
78,78,59730,10860,10860,38010,NO
79,79,8060,1240,1240,5580,NO
80,80,72200,14440,7220,50540,YES
81,81,50800,10160,10160,30480,NO
82,82,6600,660,1320,4620,NO
83,83,7500,750,1500,5250,NO
84,84,6490,1180,1180,4130,NO
85,85,60940,5540,11080,44320,YES
86,86,58300,5830,11660,40810,NO
87,87,68400,11400,11400,45600,NO
88,88,64240,11680,11680,40880,NO
89,89,4700,940,470,3290,NO
90,90,45120,0,5640,39480,YES
91,91,66950,10300,10300,46350,NO
92,92,98340,8940,17880,71520,YES
93,93,5900,590,590,4720,NO
94,94,70680,5890,11780,53010,NO
95,95,93720,17040,8520,68160,NO
96,96,6930,1260,630,5040,NO
97,97,72930,6630,6630,59670,YES
98,98,64890,7210,7210,50470,YES
99,99,5400,900,900,3600,NO
100,100,5600,700,700,4200,NO
101,101,79300,15860,15860,47580,NO
102,102,52800,10560,5280,36960,NO
103,103,28800,0,3600,25200,NO
104,104,2970,330,330,2310,NO
105,105,93480,15580,7790,70110,NO
106,106,4320,480,480,3360,NO
107,107,79800,6650,19950,53200,YES
108,108,74200,7420,14840,51940,NO
109,109,70590,10860,10860,48870,YES
110,110,60940,5540,11080,44320,YES
111,111,74700,7470,14940,52290,NO
112,112,70000,14000,7000,49000,YES
113,113,81070,14740,14740,51590,NO
114,114,57720,14430,9620,33670,NO
115,115,7080,1180,1180,4720,NO
116,116,47700,4770,9540,33390,YES
117,117,51260,9320,9320,32620,NO
118,118,70400,6400,12800,51200,YES
119,119,90000,18000,9000,63000,NO
120,120,72820,13240,6620,52960,NO
121,121,69300,13860,13860,41580,NO
122,122,76560,12760,12760,51040,YES
123,123,55440,0,6160,49280,YES
124,124,77130,8570,17140,51420,NO
125,125,42000,7000,7000,28000,NO
126,126,36300,3300,9900,23100,NO
127,127,40320,5760,5760,28800,NO
128,128,3960,330,660,2970,NO
129,129,63840,10640,10640,42560,YES
130,130,44730,4970,4970,34790,YES
131,131,84720,14120,14120,56480,NO
132,132,61500,6150,12300,43050,NO
133,133,51000,8500,8500,34000,NO
134,134,46800,4680,9360,32760,NO
135,135,78120,17360,8680,52080,NO
136,136,69200,13840,6920,48440,YES
137,137,3690,410,410,2870,NO
138,138,65500,6550,6550,52400,NO
139,139,76120,13840,6920,55360,NO
140,140,73560,12260,12260,49040,NO
141,141,52030,9460,4730,37840,NO
142,142,5170,470,940,3760,NO
143,143,8190,1890,1260,5040,NO
144,144,70800,7080,14160,49560,YES
145,145,45630,5070,5070,35490,NO
146,146,99320,7640,15280,76400,YES
147,147,64000,12800,6400,44800,YES
148,148,47300,4730,4730,37840,NO
149,149,71680,8960,8960,53760,YES
150,150,112320,17280,17280,77760,YES
151,151,82720,7520,15040,60160,NO
152,152,48060,10680,5340,32040,NO
153,153,63570,9780,9780,44010,YES
154,154,63240,10540,10540,42160,NO
155,155,54240,9040,9040,36160,YES
156,156,37280,0,0,37280,YES
157,157,72100,7210,14420,50470,NO
158,158,6500,1300,650,4550,NO
159,159,78240,13040,13040,52160,NO
160,160,6200,1240,620,4340,NO
161,161,6160,560,1680,3920,NO
162,162,76050,11700,11700,52650,NO
163,163,86060,13240,13240,59580,NO
164,164,107900,10790,21580,75530,YES
165,165,99990,18180,18180,63630,NO
166,166,61380,11160,5580,44640,NO
167,167,71280,12960,12960,45360,YES
168,168,64000,12800,6400,44800,NO
169,169,5940,660,660,4620,NO
170,170,6700,670,670,5360,NO
171,171,51740,11940,7960,31840,NO
172,172,53600,6700,6700,40200,YES
173,173,44910,4990,4990,34930,NO
174,174,48100,11100,7400,29600,NO
175,175,6100,610,1220,4270,NO
176,176,79600,15920,15920,47760,NO
177,177,77040,8560,8560,59920,NO
178,178,62590,11380,11380,39830,NO
179,179,85150,13100,13100,58950,NO
180,180,4950,450,900,3600,NO
181,181,51100,10220,5110,35770,NO
182,182,100800,16800,16800,67200,NO
183,183,90970,16540,16540,57890,NO
184,184,81840,14880,7440,59520,YES
185,185,54900,5490,5490,43920,NO
186,186,88660,8060,16120,64480,YES
187,187,18000,2250,2250,13500,NO
188,188,5500,1100,550,3850,NO
189,189,73920,13440,6720,53760,YES
190,190,101860,18520,18520,64820,NO
191,191,5390,980,980,3430,NO
192,192,50490,5610,5610,39270,NO
193,193,55500,5550,11100,38850,NO
194,194,7040,1280,640,5120,NO
195,195,40160,5020,0,35140,NO
196,196,55680,6960,6960,41760,NO
197,197,5300,530,530,4240,YES
198,198,5200,650,650,3900,NO
199,199,59400,5940,11880,41580,NO
200,200,2520,280,280,1960,NO
201,201,5760,960,960,3840,NO
202,202,76700,7670,7670,61360,NO
203,203,5920,740,740,4440,NO
204,204,64350,7150,7150,50050,NO
205,205,19080,4240,2120,12720,NO
206,206,54400,5440,5440,43520,NO
207,207,59800,5980,5980,47840,YES
208,208,72000,7200,7200,57600,NO
209,209,65070,7230,14460,43380,NO
210,210,8800,1760,880,6160,NO
211,211,6120,1020,1020,4080,NO
212,212,7080,1180,590,5310,NO
213,213,34320,8580,4290,21450,NO
214,214,53460,9720,9720,34020,YES
215,215,81360,6780,13560,61020,YES
216,216,81070,7370,14740,58960,YES
217,217,63120,5260,10520,47340,NO
218,218,7200,1440,720,5040,NO
219,219,70290,12780,6390,51120,YES
220,220,60190,9260,9260,41670,NO
221,221,61380,11160,5580,44640,YES
222,222,28100,2810,5620,19670,NO
223,223,49060,8920,8920,31220,NO
224,224,57060,6340,6340,44380,NO
225,225,77880,12980,12980,51920,NO
226,226,73500,7350,14700,51450,NO
227,227,88920,6840,13680,68400,NO
228,228,47630,12990,4330,30310,YES
229,229,59040,6560,6560,45920,NO
230,230,79530,14460,7230,57840,NO
231,231,53680,4880,4880,43920,NO
232,232,33550,3050,6100,24400,NO
233,233,69100,6910,6910,55280,NO
234,234,79750,14500,14500,50750,NO
235,235,53600,5360,10720,37520,YES
236,236,76560,12760,6380,57420,NO
237,237,41130,4570,4570,31990,NO
238,238,78650,14300,7150,57200,YES
239,239,71060,6460,12920,51680,NO
240,240,38830,3530,3530,31770,NO
241,241,53500,5350,5350,42800,NO
242,242,73700,7370,7370,58960,YES
243,243,6300,630,630,5040,NO
244,244,65400,10900,10900,43600,NO
245,245,3200,640,320,2240,NO
246,246,75400,7540,15080,52780,YES
247,247,58140,6460,6460,45220,NO
248,248,98670,15180,15180,68310,YES
249,249,5900,1180,590,4130,NO
250,250,64100,6410,6410,51280,NO
251,251,55440,5040,10080,40320,YES
252,252,80850,7350,14700,58800,YES
253,253,7480,680,680,6120,NO
254,254,53640,5960,5960,41720,YES
255,255,63250,5750,11500,46000,YES
256,256,59040,9840,9840,39360,NO
257,257,50500,10100,5050,35350,NO
258,258,57690,6410,12820,38460,YES
259,259,5940,660,660,4620,NO
260,260,47790,5310,5310,37170,YES
261,261,3850,350,350,3150,NO
262,262,59000,5900,5900,47200,YES
263,263,70600,7060,14120,49420,YES
264,264,61490,5590,11180,44720,NO
265,265,57640,5240,10480,41920,NO
266,266,6890,1060,1060,4770,NO
267,267,53280,11840,5920,35520,YES
268,268,78300,15660,7830,54810,NO
269,269,41490,4610,4610,32270,NO
270,270,68970,12540,6270,50160,NO
271,271,85300,17060,8530,59710,NO
272,272,3080,560,280,2240,NO
273,273,71760,11040,11040,49680,YES
274,274,59700,11940,11940,35820,NO
275,275,64920,10820,10820,43280,NO
276,276,37530,4170,4170,29190,NO
277,277,64080,7120,7120,49840,NO
278,278,60390,10980,5490,43920,YES
279,279,64350,5850,11700,46800,YES
280,280,70900,14180,7090,49630,NO
281,281,46560,7760,7760,31040,NO
282,282,4730,860,860,3010,YES
283,283,6820,1240,1240,4340,NO
284,284,59900,11980,5990,41930,YES
285,285,79560,13260,13260,53040,NO
286,286,70290,12780,6390,51120,NO
287,287,63910,5810,11620,46480,NO
288,288,6400,640,640,5120,NO
289,289,66780,7420,7420,51940,YES
290,290,8760,1460,1460,5840,NO
291,291,94160,8560,17120,68480,NO
292,292,51570,5730,11460,34380,NO
293,293,52700,10540,10540,31620,YES
294,294,101010,15540,15540,69930,NO
295,295,53400,5340,5340,42720,YES
296,296,72120,12020,12020,48080,NO
297,297,77100,7710,15420,53970,NO
298,298,3300,600,0,2700,NO
299,299,5940,1080,540,4320,NO
300,300,63720,7080,21240,35400,NO
301,301,7680,1280,640,5760,NO
302,302,93730,14420,21630,57680,NO
303,303,87300,17460,17460,52380,NO
304,304,5670,1260,630,3780,NO
305,305,65800,13160,6580,46060,NO
306,306,36720,4080,4080,28560,YES
307,307,52800,4800,9600,38400,YES
308,308,59100,5910,5910,47280,YES
309,309,77440,14080,7040,56320,NO
310,310,45700,4570,4570,36560,NO
311,311,80740,7340,14680,58720,YES
312,312,31350,2850,5700,22800,YES
313,313,35000,3500,7000,24500,NO
314,314,68000,13600,6800,47600,NO
315,315,84500,13000,13000,58500,NO
316,316,75500,7550,15100,52850,NO
317,317,90600,15100,15100,60400,NO
318,318,64320,5360,10720,48240,NO
319,319,31700,6340,3170,22190,NO
320,320,74280,12380,12380,49520,YES
321,321,80520,13420,6710,60390,NO
322,322,63600,6360,12720,44520,NO
323,323,32800,3280,3280,26240,NO
324,324,44190,9820,4910,29460,NO
325,325,50400,10080,5040,35280,YES
326,326,88400,17680,8840,61880,NO
327,327,66550,12100,6050,48400,NO
328,328,65780,5980,11960,47840,NO
329,329,51810,9420,4710,37680,YES
330,330,55660,5060,10120,40480,YES
331,331,44640,9920,4960,29760,NO
332,332,77660,7060,14120,56480,YES
333,333,5640,940,940,3760,NO
334,334,3190,580,580,2030,NO
335,335,53440,0,6680,46760,NO
336,336,65250,7250,7250,50750,NO
337,337,44280,4920,4920,34440,NO
338,338,70290,7810,7810,54670,NO
339,339,87100,8710,8710,69680,NO
340,340,50380,4580,4580,41220,NO
341,341,64800,12960,6480,45360,YES
342,342,70400,12800,12800,44800,NO
343,343,57860,0,10520,47340,YES
344,344,6240,960,960,4320,NO
345,345,66600,16650,11100,38850,YES
346,346,70920,11820,11820,47280,NO
347,347,39480,6580,6580,26320,NO
348,348,63240,10540,5270,47430,NO
349,349,67650,12300,6150,49200,NO
350,350,74200,14840,14840,44520,YES
351,351,64900,12980,12980,38940,NO
352,352,35900,7180,3590,25130,YES
353,353,52200,5220,10440,36540,NO
354,354,78000,6500,13000,58500,NO
355,355,67200,6720,6720,53760,NO
356,356,63250,11500,5750,46000,NO
357,357,68760,11460,5730,51570,NO
358,358,65040,10840,10840,43360,NO
359,359,82800,20700,13800,48300,YES
360,360,61700,6170,6170,49360,NO
361,361,78100,15620,7810,54670,YES
362,362,65520,9360,9360,46800,YES
363,363,4500,450,450,3600,NO
364,364,42700,0,6100,36600,YES
365,365,5580,620,620,4340,YES
366,366,3600,360,720,2520,YES
367,367,2800,280,280,2240,NO
368,368,54000,6000,6000,42000,NO
369,369,48950,4450,8900,35600,YES
370,370,77800,15560,15560,46680,NO
371,371,52560,11680,5840,35040,NO
372,372,44110,4010,8020,32080,NO
373,373,74360,13520,6760,54080,NO
374,374,6120,680,680,4760,YES
375,375,62280,5190,10380,46710,NO
376,376,26730,4860,4860,17010,NO
377,377,66200,6620,6620,52960,NO
378,378,45500,9100,4550,31850,NO
379,379,53040,4420,4420,44200,NO
380,380,50800,10160,5080,35560,YES
381,381,44200,4420,4420,35360,NO
382,382,62920,11440,5720,45760,NO
383,383,49950,5550,5550,38850,YES
384,384,56430,6270,6270,43890,YES
385,385,100210,18220,18220,63770,NO
386,386,49140,5460,5460,38220,NO
387,387,66840,16710,5570,44560,NO
388,388,62460,6940,6940,48580,NO
389,389,62810,11420,11420,39970,NO
390,390,54160,6770,6770,40620,NO
391,391,48400,9680,4840,33880,NO
392,392,51480,5720,5720,40040,NO
393,393,51700,5170,10340,36190,NO
394,394,65520,10920,5460,49140,NO
395,395,47700,4770,9540,33390,YES
396,396,5220,580,580,4060,NO
397,397,73320,6110,12220,54990,NO
398,398,74900,14980,7490,52430,NO
399,399,3190,580,290,2320,NO
400,400,76920,12820,6410,57690,NO
401,401,77990,7090,14180,56720,NO
402,402,59670,9180,9180,41310,NO
403,403,44880,8160,4080,32640,YES
404,404,82830,7530,15060,60240,NO
405,405,84480,7680,15360,61440,YES
406,406,79800,15960,7980,55860,NO
407,407,53020,9640,9640,33740,NO
408,408,24200,2200,4400,17600,NO
409,409,43230,7860,7860,27510,NO
410,410,3190,290,580,2320,NO
411,411,5850,1300,650,3900,NO
412,412,6820,620,1240,4960,NO
413,413,69480,11580,11580,46320,NO
414,414,94560,7880,15760,70920,NO
415,415,7800,780,780,6240,NO
416,416,61270,5570,11140,44560,NO
417,417,71440,8930,8930,53580,NO
418,418,55600,11120,5560,38920,NO
419,419,5000,1000,500,3500,NO
420,420,95810,14740,14740,66330,NO
421,421,69300,6930,13860,48510,NO
422,422,81120,13520,20280,47320,NO
423,423,91260,14040,14040,63180,NO
424,424,60600,6060,12120,42420,NO
425,425,64800,6480,12960,45360,YES
426,426,66880,6080,12160,48640,YES
427,427,58200,5820,5820,46560,NO
428,428,60570,6730,6730,47110,NO
429,429,69680,8710,8710,52260,YES
430,430,55700,5570,11140,38990,NO
431,431,62370,5670,5670,51030,NO
432,432,54340,9880,0,44460,NO
433,433,55170,6130,6130,42910,YES
434,434,58500,11700,5850,40950,NO
435,435,59940,6660,6660,46620,NO
436,436,73400,7340,7340,58720,NO
437,437,41850,4650,4650,32550,NO
438,438,6400,640,1280,4480,YES
439,439,3190,580,290,2320,NO
440,440,5900,590,590,4720,NO
441,441,57330,6370,6370,44590,NO
442,442,81960,13660,13660,54640,NO
443,443,70400,6400,19200,44800,YES
444,444,3770,580,580,2610,NO
445,445,7400,740,1480,5180,NO
446,446,54810,6090,6090,42630,YES
447,447,49400,4940,9880,34580,NO
448,448,68750,12500,6250,50000,NO
449,449,61500,12300,6150,43050,NO
450,450,76890,6990,13980,55920,NO
451,451,56070,6230,12460,37380,NO
452,452,56000,14000,0,42000,NO
453,453,4290,780,390,3120,NO
454,454,60750,6750,6750,47250,NO
455,455,48730,4430,4430,39870,NO
456,456,95150,17300,17300,60550,NO
457,457,7480,680,680,6120,NO
458,458,79800,13300,6650,59850,YES
459,459,103560,8630,17260,77670,NO
460,460,79500,15900,7950,55650,NO
461,461,76230,6930,13860,55440,YES
462,462,59520,9920,9920,39680,NO
463,463,47760,5970,5970,35820,YES
464,464,84590,15380,7690,61520,NO
465,465,61650,6850,6850,47950,NO
466,466,81400,8140,8140,65120,NO
467,467,58410,10620,5310,42480,NO
468,468,38610,3510,3510,31590,NO
469,469,57600,9600,9600,38400,NO
470,470,53190,5910,11820,35460,NO
471,471,58300,5830,11660,40810,YES
472,472,64620,7180,0,57440,NO
473,473,90480,15080,15080,60320,NO
474,474,7080,1180,1180,4720,NO
475,475,6490,590,1180,4720,YES
476,476,55900,5590,5590,44720,NO
477,477,63800,6380,6380,51040,YES
478,478,58160,7270,7270,43620,YES
479,479,6300,630,1260,4410,YES
480,480,104610,19020,19020,66570,YES
481,481,69850,12700,6350,50800,NO
482,482,62900,12580,6290,44030,NO
483,483,59670,6630,6630,46410,YES
484,484,81500,16300,8150,57050,NO
485,485,50000,15000,5000,30000,NO
486,486,48290,8780,8780,30730,NO
487,487,59070,5370,5370,48330,NO
488,488,63300,12660,6330,44310,NO
489,489,65780,11960,11960,41860,NO
490,490,75400,11600,11600,52200,YES
491,491,2250,250,250,1750,NO
492,492,54120,4510,9020,40590,NO
493,493,69480,11580,11580,46320,NO
494,494,66950,10300,10300,46350,NO
495,495,64100,12820,6410,44870,YES
496,496,80280,13380,13380,53520,NO
497,497,4680,520,0,4160,NO
498,498,39720,6620,6620,26480,NO
499,499,63580,5780,5780,52020,YES
500,500,73370,13340,6670,53360,NO
501,501,86790,7890,23670,55230,NO
502,502,49800,9960,4980,34860,NO
503,503,77440,7040,14080,56320,NO
504,504,42900,8580,0,34320,NO
505,505,53820,11960,5980,35880,YES
506,506,57330,12740,6370,38220,NO
507,507,53370,5930,5930,41510,NO
508,508,62920,9680,14520,38720,NO
509,509,61600,6160,12320,43120,NO
510,510,74160,6180,12360,55620,NO
511,511,80100,8900,8900,62300,NO
512,512,6560,820,820,4920,NO
513,513,58800,11760,5880,41160,NO
514,514,53730,11940,5970,35820,YES
515,515,60600,5050,10100,45450,NO
516,516,35750,6500,3250,26000,NO
517,517,42840,3570,7140,32130,NO
518,518,87960,14660,14660,58640,YES
519,519,47800,4780,4780,38240,NO
520,520,3840,640,640,2560,NO
521,521,77000,14000,7000,56000,NO
522,522,88110,16020,16020,56070,NO
523,523,47740,4340,4340,39060,NO
524,524,58960,5360,10720,42880,NO
525,525,2160,480,240,1440,NO
526,526,6890,530,1060,5300,NO
527,527,78870,7170,14340,57360,NO
528,528,2700,300,300,2100,NO
529,529,75960,6330,6330,63300,NO
530,530,75570,6870,13740,54960,YES
531,531,90240,15040,15040,60160,NO
532,532,80960,14720,7360,58880,NO
533,533,79080,6590,13180,59310,NO
534,534,6820,1240,620,4960,NO
535,535,62590,5690,11380,45520,NO
536,536,52400,6550,6550,39300,YES
537,537,63580,5780,11560,46240,NO
538,538,61400,6140,6140,49120,NO
539,539,4700,940,470,3290,YES
540,540,74140,13480,13480,47180,NO
541,541,83160,6930,13860,62370,NO
542,542,10790,1660,830,8300,NO
543,543,48070,8740,8740,30590,NO
544,544,51030,5670,11340,34020,NO
545,545,43280,0,5410,37870,YES
546,546,76400,15280,7640,53480,NO
547,547,75460,13720,13720,48020,NO
548,548,69000,13800,6900,48300,YES
549,549,8640,1440,720,6480,NO
550,550,67210,12220,12220,42770,NO
551,551,42500,4250,4250,34000,NO
552,552,86400,14400,7200,64800,NO
553,553,4620,840,840,2940,YES
554,554,6930,630,1260,5040,NO
555,555,41700,8340,8340,25020,NO
556,556,77330,14060,14060,49210,YES
557,557,4950,900,450,3600,NO
558,558,5160,860,860,3440,NO
559,559,24570,2730,2730,19110,YES
560,560,53680,4880,9760,39040,NO
561,561,42900,3900,3900,35100,NO
562,562,84100,16820,8410,58870,YES
563,563,61560,6840,6840,47880,NO
564,564,44240,5530,5530,33180,NO
565,565,57700,11540,5770,40390,NO
566,566,108030,16620,16620,74790,NO
567,567,54300,10860,5430,38010,NO
568,568,32280,5380,5380,21520,YES
569,569,84600,16920,8460,59220,NO
570,570,69700,6970,6970,55760,NO
571,571,36400,3640,7280,25480,NO
572,572,37520,4690,4690,28140,NO
573,573,79090,14380,14380,50330,NO
574,574,67770,7530,15060,45180,YES
575,575,47400,9480,4740,33180,YES
576,576,71100,7110,14220,49770,NO
577,577,69400,13880,6940,48580,NO
578,578,55000,5000,10000,40000,YES
579,579,51090,7860,7860,35370,NO
580,580,64200,6420,19260,38520,YES
581,581,67320,12240,12240,42840,NO
582,582,76120,6920,13840,55360,NO
583,583,85020,13080,13080,58860,NO
584,584,68090,12380,12380,43330,NO
585,585,6030,670,670,4690,NO
586,586,5100,1020,510,3570,NO
587,587,4590,510,510,3570,NO
588,588,72400,7240,14480,50680,YES
589,589,70900,14180,7090,49630,NO
590,590,65100,6510,6510,52080,NO
591,591,64260,0,14280,49980,NO
592,592,79970,7270,21810,50890,YES
593,593,56610,6290,6290,44030,NO
594,594,84590,7690,7690,69210,YES
595,595,66780,7420,14840,44520,NO
596,596,58500,0,6500,52000,NO
597,597,5000,500,500,4000,NO
598,598,5000,500,1000,3500,YES
599,599,54450,6050,12100,36300,NO
600,600,61920,6880,6880,48160,NO
601,601,43700,4370,4370,34960,YES
602,602,64080,7120,7120,49840,NO
603,603,55000,10000,10000,35000,YES
604,604,4400,0,550,3850,NO
605,605,71640,5970,11940,53730,NO
606,606,61740,6860,6860,48020,NO
607,607,57500,5750,5750,46000,NO
608,608,8700,870,1740,6090,NO
609,609,77100,15420,7710,53970,NO
610,610,59400,6600,6600,46200,NO
611,611,54890,9980,4990,39920,NO
612,612,74030,6730,13460,53840,NO
613,613,61490,11180,11180,39130,NO
614,614,79560,6630,13260,59670,NO
615,615,4900,490,490,3920,NO
616,616,77770,14140,14140,49490,NO
617,617,74700,7470,14940,52290,YES
618,618,40600,4060,4060,32480,NO
619,619,45270,10060,10060,25150,NO
620,620,47080,4280,8560,34240,NO
621,621,40700,4070,4070,32560,YES
622,622,34650,6300,3150,25200,NO
623,623,3200,400,400,2400,NO
624,624,78980,7180,14360,57440,YES
625,625,6160,560,1120,4480,NO
626,626,85250,15500,7750,62000,NO
627,627,72840,12140,6070,54630,NO
628,628,6050,1100,1100,3850,NO
629,629,87890,15980,7990,63920,YES
630,630,60500,11000,5500,44000,YES
631,631,88220,16040,16040,56140,NO
632,632,53680,9760,4880,39040,NO
633,633,53800,5380,5380,43040,NO
634,634,54360,4530,9060,40770,YES
635,635,54340,9880,4940,39520,NO
636,636,2860,520,260,2080,YES
637,637,5490,0,1220,4270,NO
638,638,7370,670,1340,5360,NO
639,639,50800,5080,5080,40640,YES
640,640,41520,5190,5190,31140,NO
641,641,89650,8150,16300,65200,NO
642,642,39690,0,0,39690,NO
643,643,62260,5660,5660,50940,NO
644,644,51920,9440,4720,37760,YES
645,645,53460,9720,4860,38880,NO
646,646,57100,5710,5710,45680,NO
647,647,77440,14080,7040,56320,NO
648,648,68300,6830,13660,47810,NO
649,649,5060,460,920,3680,NO
650,650,59400,6600,13200,39600,YES
651,651,69930,0,15540,54390,YES
652,652,77700,7770,15540,54390,NO
653,653,68750,12500,12500,43750,YES
654,654,91080,16560,16560,57960,NO
655,655,48360,4030,8060,36270,NO
656,656,95000,9500,9500,76000,NO
657,657,3900,780,390,2730,NO
658,658,59400,11880,5940,41580,YES
659,659,60210,6690,6690,46830,NO
660,660,43600,8720,4360,30520,NO
661,661,62800,6280,12560,43960,NO
662,662,59500,11900,5950,41650,NO
663,663,53460,5940,5940,41580,NO
664,664,41690,7580,7580,26530,NO
665,665,63100,6310,12620,44170,NO
666,666,62880,5240,10480,47160,YES
667,667,75400,17400,11600,46400,YES
668,668,46200,4200,8400,33600,NO
669,669,58500,5850,5850,46800,NO
670,670,66240,11040,11040,44160,NO
671,671,65440,8180,8180,49080,NO
672,672,64200,10700,10700,42800,NO
673,673,32320,4040,4040,24240,NO
674,674,33480,3720,3720,26040,NO
675,675,4320,480,960,2880,NO
676,676,4200,840,420,2940,NO
677,677,57970,10540,5270,42160,NO
678,678,4320,0,960,3360,NO
679,679,69300,13860,6930,48510,NO
680,680,32480,4060,4060,24360,NO
681,681,60480,6720,6720,47040,NO
682,682,2640,440,440,1760,NO
683,683,6050,550,1100,4400,NO
684,684,42700,4270,4270,34160,YES
685,685,40260,3660,7320,29280,YES
686,686,50000,5000,10000,35000,NO
687,687,3840,640,320,2880,NO
688,688,95900,13700,20550,61650,NO
689,689,56160,6240,12480,37440,NO
690,690,63030,5730,11460,45840,NO
691,691,63470,5770,11540,46160,NO
692,692,44440,8080,4040,32320,YES
693,693,6600,1200,1200,4200,NO
694,694,77200,9650,9650,57900,NO
695,695,57000,0,11400,45600,NO
696,696,2700,300,300,2100,NO
697,697,47300,4300,8600,34400,NO
698,698,55110,5010,10020,40080,NO
699,699,4320,480,480,3360,NO
700,700,68760,11460,5730,51570,YES
701,701,74400,14880,7440,52080,YES
702,702,35300,3530,3530,28240,YES
703,703,2640,480,480,1680,NO
704,704,60190,4630,9260,46300,YES
705,705,41580,3780,7560,30240,YES
706,706,58500,11700,0,46800,YES
707,707,79320,13220,6610,59490,NO
708,708,82610,7510,7510,67590,YES
709,709,78600,13100,19650,45850,YES
710,710,51390,5710,5710,39970,YES
711,711,70200,7020,7020,56160,YES
712,712,4900,490,1470,2940,NO
713,713,66480,5540,11080,49860,YES
714,714,50380,4580,9160,36640,YES
715,715,64350,9900,9900,44550,NO
716,716,55400,5540,11080,38780,YES
717,717,49900,4990,9980,34930,NO
718,718,74880,12480,12480,49920,NO
719,719,105820,16280,16280,73260,NO
720,720,7150,1300,650,5200,NO
721,721,55800,11160,11160,33480,NO
722,722,5830,1060,1060,3710,NO
723,723,85900,17180,17180,51540,YES
724,724,7110,790,1580,4740,NO
725,725,36960,6720,3360,26880,NO
726,726,64400,6440,6440,51520,NO
727,727,1920,480,0,1440,NO
728,728,86130,15660,7830,62640,YES
729,729,82170,14940,7470,59760,YES
730,730,50300,10060,5030,35210,YES
731,731,44200,4420,8840,30940,NO
732,732,66660,6060,6060,54540,NO
733,733,78320,7120,14240,56960,NO
734,734,105040,16160,16160,72720,NO
735,735,50700,5070,5070,40560,NO
736,736,51210,11380,5690,34140,NO
737,737,51840,8640,8640,34560,NO
738,738,52800,5280,5280,42240,NO
739,739,55200,9200,13800,32200,NO
740,740,9100,1400,1400,6300,NO
741,741,67600,13520,6760,47320,NO
742,742,40800,6800,6800,27200,NO
743,743,84500,13000,13000,58500,YES
744,744,71610,13020,6510,52080,YES
